license plate,brand,model,color,model year
AH744NO,Dacia,Logan,orange,2013
AH757OS,Alfa Romeo,Stelvio,brown,2014
AH770PV,Lancia,Ypsilon,beige,2015
AH783RY,Jeep,Cherokee,purple,2016
AH796SB,Mini,Clubman,red,2017
AH809TE,Subaru,Outback,blue,2018
AH822UH,Mitsubishi,Eclipse Cross,white,2019
AH835VK,Tesla,Model S,black,2020
AH848WN,Fiat,Tipo,grey,2021
AH861XR,Volkswagen,Tiguan,silver,2022
AH874YU,Toyota,RAV4,green,2023
AH887ZX,Ford,Puma,yellow,2024
AH900AA,Renault,Kadjar,orange,2005
AH913BD,Peugeot,3008,brown,2006
AH926CG,Opel,Crossland,beige,2007
AH939DJ,BMW,X1,purple,2008
AH952EM,Mercedes,GLA,red,2009
AH965FP,Audi,Q3,blue,2010
AH978GT,Honda,CR-V,white,2011
AH991HW,Hyundai,Tucson,black,2012
AI104IZ,Kia,Sportage,grey,2013
AI117JC,Nissan,Leaf,silver,2014
AI130KF,Seat,Ateca,green,2015
AI143LI,Skoda,Karoq,yellow,2016
AI156ML,Volvo,XC60,orange,2017
AI169NO,Mazda,CX-5,brown,2018
AI182OS,Suzuki,Baleno,beige,2019
AI195PV,Citroen,Berlingo,purple,2020
AI208RY,Dacia,Spring,red,2021
AI221SB,Alfa Romeo,Tonale,blue,2022
AI234TE,Lancia,Ypsilon,white,2023
AI247UH,Jeep,Wrangler,black,2024
AI260VK,Mini,Paceman,grey,2005
AI273WN,Subaru,XV,silver,2006
AI286XR,Mitsubishi,Outlander,green,2007
AI299YU,Tesla,Model X,yellow,2008
AI312ZX,Fiat,Punto,orange,2009
AI325AA,Volkswagen,Golf,brown,2010
AI338BD,Toyota,Yaris,beige,2011
AI351CG,Ford,Focus,purple,2012
AI364DJ,Renault,Clio,red,2013
AI377EM,Peugeot,208,blue,2014
AI390FP,Opel,Corsa,white,2015
AI403GT,BMW,Serie 1,black,2016
AI416HW,Mercedes,Classe A,grey,2017
AI429IZ,Audi,A1,silver,2018
AJ442JC,Honda,Civic,green,2019
AJ455KF,Hyundai,i10,yellow,2020
AJ468LI,Kia,Picanto,orange,2021
AJ481ML,Nissan,Micra,brown,2022
AJ494NO,Seat,Ibiza,beige,2023
AJ507OS,Skoda,Fabia,purple,2024
AJ520PV,Volvo,V40,red,2005
AJ533RY,Mazda,2,blue,2006
AJ546SB,Suzuki,Swift,white,2007
AJ559TE,Citroen,C3,black,2008
AJ572UH,Dacia,Sandero,grey,2009
AJ585VK,Alfa Romeo,Giulietta,silver,2010
AJ598WN,Lancia,Ypsilon,green,2011
AJ611XR,Jeep,Renegade,yellow,2012
AJ624YU,Mini,Cooper,orange,2013
AJ637ZX,Subaru,Impreza,brown,2014
AJ650AA,Mitsubishi,Colt,beige,2015
AJ663BD,Tesla,Model 3,purple,2016
AJ676CG,Fiat,500,red,2017
AJ689DJ,Volkswagen,Polo,blue,2018
AJ702EM,Toyota,Corolla,white,2019
AJ715FP,Ford,Fiesta,black,2020
AJ728GT,Renault,Megane,grey,2021
AJ741HW,Peugeot,308,silver,2022
AJ754IZ,Opel,Astra,green,2023
AJ767JC,BMW,Serie 3,yellow,2024
AK780KF,Mercedes,Classe B,orange,2005
AK793LI,Audi,A3,brown,2006
AK806ML,Honda,Jazz,beige,2007
AK819NO,Hyundai,i20,purple,2008
AK832OS,Kia,Stonic,red,2009
AK845PV,Nissan,Juke,blue,2010
AK858RY,Seat,Arona,white,2011
AK871SB,Skoda,Scala,black,2012
AK884TE,Volvo,XC40,grey,2013
AK897UH,Mazda,3,silver,2014
AK910VK,Suzuki,Vitara,green,2015
AK923WN,Citroen,C4,yellow,2016
AK936XR,Dacia,Duster,orange,2017
AK949YU,Alfa Romeo,Giulia,brown,2018
AK962ZX,Lancia,Ypsilon,beige,2019
AK975AA,Jeep,Compass,purple,2020
AK988BD,Mini,Countryman,red,2021
AK101CG,Subaru,Forester,blue,2022
AK114DJ,Mitsubishi,ASX,white,2023
AK127EM,Tesla,Model Y,black,2024
AK140FP,Fiat,Panda,grey,2005
AK153GT,Volkswagen,Passat,silver,2006
AK166HW,Toyota,Auris,green,2007
AK179IZ,Ford,Kuga,yellow,2008
AK192JC,Renault,Captur,orange,2009
AK205KF,Peugeot,2008,brown,2010
AL218LI,Opel,Mokka,beige,2011
AL231ML,BMW,Serie 5,purple,2012
AL244NO,Mercedes,Classe C,red,2013
AL257OS,Audi,A4,blue,2014
AL270PV,Honda,HR-V,white,2015
AL283RY,Hyundai,i30,black,2016
AL296SB,Kia,Ceed,grey,2017
AL309TE,Nissan,Qashqai,silver,2018
AL322UH,Seat,Leon,green,2019
AL335VK,Skoda,Octavia,yellow,2020
AL348WN,Volvo,V60,orange,2021
AL361XR,Mazda,CX-3,brown,2022
AL374YU,Suzuki,Ignis,beige,2023
AL387ZX,Citroen,C5 Aircross,purple,2024
AL400AA,Dacia,Logan,red,2005
AL413BD,Alfa Romeo,Stelvio,blue,2006
AL426CG,Lancia,Ypsilon,white,2007
AL439DJ,Jeep,Cherokee,black,2008
AL452EM,Mini,Clubman,grey,2009
AL465FP,Subaru,Outback,silver,2010
AL478GT,Mitsubishi,Eclipse Cross,green,2011
AL491HW,Tesla,Model S,yellow,2012
AL504IZ,Fiat,Tipo,orange,2013
AL517JC,Volkswagen,Tiguan,brown,2014
AL530KF,Toyota,RAV4,beige,2015
AL543LI,Ford,Puma,purple,2016
AM556ML,Renault,Kadjar,red,2017
AM569NO,Peugeot,3008,blue,2018
AM582OS,Opel,Crossland,white,2019
AM595PV,BMW,X1,black,2020
AM608RY,Mercedes,GLA,grey,2021
AM621SB,Audi,Q3,silver,2022
AM634TE,Honda,CR-V,green,2023
AM647UH,Hyundai,Tucson,yellow,2024
AM660VK,Kia,Sportage,orange,2005
AM673WN,Nissan,Leaf,brown,2006
AM686XR,Seat,Ateca,beige,2007
AM699YU,Skoda,Karoq,purple,2008
AM712ZX,Volvo,XC60,red,2009
AM725AA,Mazda,CX-5,blue,2010
AM738BD,Suzuki,Baleno,white,2011
AM751CG,Citroen,Berlingo,black,2012
AM764DJ,Dacia,Spring,grey,2013
AM777EM,Alfa Romeo,Tonale,silver,2014
AM790FP,Lancia,Ypsilon,green,2015
AM803GT,Jeep,Wrangler,yellow,2016
AM816HW,Mini,Paceman,orange,2017
AM829IZ,Subaru,XV,brown,2018
AM842JC,Mitsubishi,Outlander,beige,2019
AM855KF,Tesla,Model X,purple,2020
AM868LI,Fiat,Punto,red,2021
AM881ML,Volkswagen,Golf,blue,2022
AN894NO,Toyota,Yaris,white,2023
AN907OS,Ford,Focus,black,2024
AN920PV,Renault,Clio,grey,2005
AN933RY,Peugeot,208,silver,2006
AN946SB,Opel,Corsa,green,2007
AN959TE,BMW,Serie 1,yellow,2008
AN972UH,Mercedes,Classe A,orange,2009
AN985VK,Audi,A1,brown,2010
AN998WN,Honda,Civic,beige,2011
AN111XR,Hyundai,i10,purple,2012
AN124YU,Kia,Picanto,red,2013
AN137ZX,Nissan,Micra,blue,2014
AN150AA,Seat,Ibiza,white,2015
AN163BD,Skoda,Fabia,black,2016
AN176CG,Volvo,V40,grey,2017
AN189DJ,Mazda,2,silver,2018
AN202EM,Suzuki,Swift,green,2019
AN215FP,Citroen,C3,yellow,2020
AN228GT,Dacia,Sandero,orange,2021
AN241HW,Alfa Romeo,Giulietta,brown,2022
AN254IZ,Lancia,Ypsilon,beige,2023
AN267JC,Jeep,Renegade,purple,2024
AN280KF,Mini,Cooper,red,2005
AN293LI,Subaru,Impreza,blue,2006
AN306ML,Mitsubishi,Colt,white,2007
AN319NO,Tesla,Model 3,black,2008
AO332OS,Fiat,500,grey,2009
AO345PV,Volkswagen,Polo,silver,2010
AO358RY,Toyota,Corolla,green,2011
AO371SB,Ford,Fiesta,yellow,2012
AO384TE,Renault,Megane,orange,2013
AO397UH,Peugeot,308,brown,2014
AO410VK,Opel,Astra,beige,2015
AO423WN,BMW,Serie 3,purple,2016
AO436XR,Mercedes,Classe B,red,2017
AO449YU,Audi,A3,blue,2018
AO462ZX,Honda,Jazz,white,2019
AO475AA,Hyundai,i20,black,2020
AO488BD,Kia,Stonic,grey,2021
AO501CG,Nissan,Juke,silver,2022
AO514DJ,Seat,Arona,green,2023
AO527EM,Skoda,Scala,yellow,2024
AO540FP,Volvo,XC40,orange,2005
AO553GT,Mazda,3,brown,2006
AO566HW,Suzuki,Vitara,beige,2007
AO579IZ,Citroen,C4,purple,2008
AO592JC,Dacia,Duster,red,2009
AO605KF,Alfa Romeo,Giulia,blue,2010
AO618LI,Lancia,Ypsilon,white,2011
AO631ML,Jeep,Compass,black,2012
AO644NO,Mini,Countryman,grey,2013
AO657OS,Subaru,Forester,silver,2014
AP670PV,Mitsubishi,ASX,green,2015
AP683RY,Tesla,Model Y,yellow,2016
AP696SB,Fiat,Panda,orange,2017
AP709TE,Volkswagen,Passat,brown,2018
AP722UH,Toyota,Auris,beige,2019
AP735VK,Ford,Kuga,purple,2020
AP748WN,Renault,Captur,red,2021
AP761XR,Peugeot,2008,blue,2022
AP774YU,Opel,Mokka,white,2023
AP787ZX,BMW,Serie 5,black,2024
AP800AA,Mercedes,Classe C,grey,2005
AP813BD,Audi,A4,silver,2006
AP826CG,Honda,HR-V,green,2007
AP839DJ,Hyundai,i30,yellow,2008
AP852EM,Kia,Ceed,orange,2009
AP865FP,Nissan,Qashqai,brown,2010
AP878GT,Seat,Leon,beige,2011
AP891HW,Skoda,Octavia,purple,2012
AP904IZ,Volvo,V60,red,2013
AP917JC,Mazda,CX-3,blue,2014
AP930KF,Suzuki,Ignis,white,2015
AP943LI,Citroen,C5 Aircross,black,2016
AP956ML,Dacia,Logan,grey,2017
AP969NO,Alfa Romeo,Stelvio,silver,2018
AP982OS,Lancia,Ypsilon,green,2019
AP995PV,Jeep,Cherokee,yellow,2020
AR108RY,Mini,Clubman,orange,2021
AR121SB,Subaru,Outback,brown,2022
AR134TE,Mitsubishi,Eclipse Cross,beige,2023
AR147UH,Tesla,Model S,purple,2024
AR160VK,Fiat,Tipo,red,2005
AR173WN,Volkswagen,Tiguan,blue,2006
AR186XR,Toyota,RAV4,white,2007
AR199YU,Ford,Puma,black,2008
AR212ZX,Renault,Kadjar,grey,2009
AR225AA,Peugeot,3008,silver,2010
AR238BD,Opel,Crossland,green,2011
AR251CG,BMW,X1,yellow,2012
AR264DJ,Mercedes,GLA,orange,2013
AR277EM,Audi,Q3,brown,2014
AR290FP,Honda,CR-V,beige,2015
AR303GT,Hyundai,Tucson,purple,2016
AR316HW,Kia,Sportage,red,2017
AR329IZ,Nissan,Leaf,blue,2018
AR342JC,Seat,Ateca,white,2019
AR355KF,Skoda,Karoq,black,2020
AR368LI,Volvo,XC60,grey,2021
AR381ML,Mazda,CX-5,silver,2022
AR394NO,Suzuki,Baleno,green,2023
AR407OS,Citroen,Berlingo,yellow,2024
AR420PV,Dacia,Spring,orange,2005
AR433RY,Alfa Romeo,Tonale,brown,2006
AS446SB,Lancia,Ypsilon,beige,2007
AS459TE,Jeep,Wrangler,purple,2008
AS472UH,Mini,Paceman,red,2009
AS485VK,Subaru,XV,blue,2010
AS498WN,Mitsubishi,Outlander,white,2011
AS511XR,Tesla,Model X,black,2012
AS524YU,Fiat,Punto,grey,2013
AS537ZX,Volkswagen,Golf,silver,2014
AS550AA,Toyota,Yaris,green,2015
AS563BD,Ford,Focus,yellow,2016
AS576CG,Renault,Clio,orange,2017
AS589DJ,Peugeot,208,brown,2018
AS602EM,Opel,Corsa,beige,2019
AS615FP,BMW,Serie 1,purple,2020
AS628GT,Mercedes,Classe A,red,2021
AS641HW,Audi,A1,blue,2022
AS654IZ,Honda,Civic,white,2023
AS667JC,Hyundai,i10,black,2024
AS680KF,Kia,Picanto,grey,2005
AS693LI,Nissan,Micra,silver,2006
AS706ML,Seat,Ibiza,green,2007
AS719NO,Skoda,Fabia,yellow,2008
AS732OS,Volvo,V40,orange,2009
AS745PV,Mazda,2,brown,2010
AS758RY,Suzuki,Swift,beige,2011
AS771SB,Citroen,C3,purple,2012
AT784TE,Dacia,Sandero,red,2013
AT797UH,Alfa Romeo,Giulietta,blue,2014
AT810VK,Lancia,Ypsilon,white,2015
AT823WN,Jeep,Renegade,black,2016
AT836XR,Mini,Cooper,grey,2017
AT849YU,Subaru,Impreza,silver,2018
AT862ZX,Mitsubishi,Colt,green,2019
AT875AA,Tesla,Model 3,yellow,2020
AT888BD,Fiat,500,orange,2021
AT901CG,Volkswagen,Polo,brown,2022
AT914DJ,Toyota,Corolla,beige,2023
AT927EM,Ford,Fiesta,purple,2024
AT940FP,Renault,Megane,red,2005
AT953GT,Peugeot,308,blue,2006
AT966HW,Opel,Astra,white,2007
AT979IZ,BMW,Serie 3,black,2008
AT992JC,Mercedes,Classe B,grey,2009
AT105KF,Audi,A3,silver,2010
AT118LI,Honda,Jazz,green,2011
AT131ML,Hyundai,i20,yellow,2012
AT144NO,Kia,Stonic,orange,2013
AT157OS,Nissan,Juke,brown,2014
AT170PV,Seat,Arona,beige,2015
AT183RY,Skoda,Scala,purple,2016
AT196SB,Volvo,XC40,red,2017
AT209TE,Mazda,3,blue,2018
AU222UH,Suzuki,Vitara,white,2019
AU235VK,Citroen,C4,black,2020
AU248WN,Dacia,Duster,grey,2021
AU261XR,Alfa Romeo,Giulia,silver,2022
AU274YU,Lancia,Ypsilon,green,2023
AU287ZX,Jeep,Compass,yellow,2024
AU300AA,Mini,Countryman,orange,2005
AU313BD,Subaru,Forester,brown,2006
AU326CG,Mitsubishi,ASX,beige,2007
AU339DJ,Tesla,Model Y,purple,2008
AU352EM,Fiat,Panda,red,2009
AU365FP,Volkswagen,Passat,blue,2010
AU378GT,Toyota,Auris,white,2011
AU391HW,Ford,Kuga,black,2012
AU404IZ,Renault,Captur,grey,2013
AU417JC,Peugeot,2008,silver,2014
AU430KF,Opel,Mokka,green,2015
AU443LI,BMW,Serie 5,yellow,2016
AU456ML,Mercedes,Classe C,orange,2017
AU469NO,Audi,A4,brown,2018
AU482OS,Honda,HR-V,beige,2019
AU495PV,Hyundai,i30,purple,2020
AU508RY,Kia,Ceed,red,2021
AU521SB,Nissan,Qashqai,blue,2022
AU534TE,Seat,Leon,white,2023
AU547UH,Skoda,Octavia,black,2024
AV560VK,Volvo,V60,grey,2005
AV573WN,Mazda,CX-3,silver,2006
AV586XR,Suzuki,Ignis,green,2007
AV599YU,Citroen,C5 Aircross,yellow,2008
AV612ZX,Dacia,Logan,orange,2009
AV625AA,Alfa Romeo,Stelvio,brown,2010
AV638BD,Lancia,Ypsilon,beige,2011
AV651CG,Jeep,Cherokee,purple,2012
AV664DJ,Mini,Clubman,red,2013
AV677EM,Subaru,Outback,blue,2014
AV690FP,Mitsubishi,Eclipse Cross,white,2015
AV703GT,Tesla,Model S,black,2016
AV716HW,Fiat,Tipo,grey,2017
AV729IZ,Volkswagen,Tiguan,silver,2018
AV742JC,Toyota,RAV4,green,2019
AV755KF,Ford,Puma,yellow,2020
AV768LI,Renault,Kadjar,orange,2021
AV781ML,Peugeot,3008,brown,2022
AV794NO,Opel,Crossland,beige,2023
AV807OS,BMW,X1,purple,2024
AV820PV,Mercedes,GLA,red,2005
AV833RY,Audi,Q3,blue,2006
AV846SB,Honda,CR-V,white,2007
AV859TE,Hyundai,Tucson,black,2008
AV872UH,Kia,Sportage,grey,2009
AV885VK,Nissan,Leaf,silver,2010
AW898WN,Seat,Ateca,green,2011
AW911XR,Skoda,Karoq,yellow,2012
AW924YU,Volvo,XC60,orange,2013
AW937ZX,Mazda,CX-5,brown,2014
AW950AA,Suzuki,Baleno,beige,2015
AW963BD,Citroen,Berlingo,purple,2016
AW976CG,Dacia,Spring,red,2017
AW989DJ,Alfa Romeo,Tonale,blue,2018
AW102EM,Lancia,Ypsilon,white,2019
AW115FP,Jeep,Wrangler,black,2020
AW128GT,Mini,Paceman,grey,2021
AW141HW,Subaru,XV,silver,2022
AW154IZ,Mitsubishi,Outlander,green,2023
AW167JC,Tesla,Model X,yellow,2024
AW180KF,Fiat,Punto,orange,2005
AW193LI,Volkswagen,Golf,brown,2006
AW206ML,Toyota,Yaris,beige,2007
AW219NO,Ford,Focus,purple,2008
AW232OS,Renault,Clio,red,2009
AW245PV,Peugeot,208,blue,2010
AW258RY,Opel,Corsa,white,2011
AW271SB,BMW,Serie 1,black,2012
AW284TE,Mercedes,Classe A,grey,2013
AW297UH,Audi,A1,silver,2014
AW310VK,Honda,Civic,green,2015
AW323WN,Hyundai,i10,yellow,2016
AX336XR,Kia,Picanto,orange,2017
AX349YU,Nissan,Micra,brown,2018
AX362ZX,Seat,Ibiza,beige,2019
AX375AA,Skoda,Fabia,purple,2020
AX388BD,Volvo,V40,red,2021
AX401CG,Mazda,2,blue,2022
AX414DJ,Suzuki,Swift,white,2023
AX427EM,Citroen,C3,black,2024
AX440FP,Dacia,Sandero,grey,2005
AX453GT,Alfa Romeo,Giulietta,silver,2006
AX466HW,Lancia,Ypsilon,green,2007
AX479IZ,Jeep,Renegade,yellow,2008
AX492JC,Mini,Cooper,orange,2009
AX505KF,Subaru,Impreza,brown,2010
AX518LI,Mitsubishi,Colt,beige,2011
AX531ML,Tesla,Model 3,purple,2012
AX544NO,Fiat,500,red,2013
AX557OS,Volkswagen,Polo,blue,2014
AX570PV,Toyota,Corolla,white,2015
AX583RY,Ford,Fiesta,black,2016
AX596SB,Renault,Megane,grey,2017
AX609TE,Peugeot,308,silver,2018
AX622UH,Opel,Astra,green,2019
AX635VK,BMW,Serie 3,yellow,2020
AX648WN,Mercedes,Classe B,orange,2021
AX661XR,Audi,A3,brown,2022
AY674YU,Honda,Jazz,beige,2023
AY687ZX,Hyundai,i20,purple,2024
AY700AA,Kia,Stonic,red,2005
AY713BD,Nissan,Juke,blue,2006
AY726CG,Seat,Arona,white,2007
AY739DJ,Skoda,Scala,black,2008
AY752EM,Volvo,XC40,grey,2009
AY765FP,Mazda,3,silver,2010
AY778GT,Suzuki,Vitara,green,2011
AY791HW,Citroen,C4,yellow,2012
AY804IZ,Dacia,Duster,orange,2013
AY817JC,Alfa Romeo,Giulia,brown,2014
AY830KF,Lancia,Ypsilon,beige,2015
AY843LI,Jeep,Compass,purple,2016
AY856ML,Mini,Countryman,red,2017
AY869NO,Subaru,Forester,blue,2018
AY882OS,Mitsubishi,ASX,white,2019
AY895PV,Tesla,Model Y,black,2020
AY908RY,Fiat,Panda,grey,2021
AY921SB,Volkswagen,Passat,silver,2022
AY934TE,Toyota,Auris,green,2023
AY947UH,Ford,Kuga,yellow,2024
AY960VK,Renault,Captur,orange,2005
AY973WN,Peugeot,2008,brown,2006
AY986XR,Opel,Mokka,beige,2007
AY999YU,BMW,Serie 5,purple,2008
AZ112ZX,Mercedes,Classe C,red,2009
AZ125AA,Audi,A4,blue,2010
AZ138BD,Honda,HR-V,white,2011
AZ151CG,Hyundai,i30,black,2012
AZ164DJ,Kia,Ceed,grey,2013
AZ177EM,Nissan,Qashqai,silver,2014
AZ190FP,Seat,Leon,green,2015
AZ203GT,Skoda,Octavia,yellow,2016
AZ216HW,Volvo,V60,orange,2017
AZ229IZ,Mazda,CX-3,brown,2018
AZ242JC,Suzuki,Ignis,beige,2019
AZ255KF,Citroen,C5 Aircross,purple,2020
AZ268LI,Dacia,Logan,red,2021
AZ281ML,Alfa Romeo,Stelvio,blue,2022
AZ294NO,Lancia,Ypsilon,white,2023
AZ307OS,Jeep,Cherokee,black,2024
AZ320PV,Mini,Clubman,grey,2005
AZ333RY,Subaru,Outback,silver,2006
AZ346SB,Mitsubishi,Eclipse Cross,green,2007
AZ359TE,Tesla,Model S,yellow,2008
AZ372UH,Fiat,Tipo,orange,2009
AZ385VK,Volkswagen,Tiguan,brown,2010
